,Sample Number,Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
0,1,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.1,18.7,181.0,3750.0,MALE,,
1,2,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.5,17.4,186.0,3800.0,FEMALE,8.94956,-24.69454
2,3,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,40.3,18.0,195.0,3250.0,FEMALE,8.36821,-25.33302
3,4,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,,,,,,,
4,5,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.7,19.3,193.0,3450.0,FEMALE,8.76651,-25.32426
5,6,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.3,20.6,190.0,3650.0,MALE,8.66496,-25.29805
6,7,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,38.9,17.8,181.0,3625.0,FEMALE,9.18718,-25.21799
7,8,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,39.2,19.6,195.0,4675.0,MALE,9.4606,-24.89958
8,9,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,34.1,18.1,193.0,3475.0,,,
9,10,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.0,20.2,190.0,4250.0,,9.13362,-25.09368
10,11,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.8,17.1,186.0,3300.0,,8.63243,-25.21315
11,12,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.8,17.3,180.0,3700.0,,,
12,13,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,41.1,17.6,182.0,3200.0,FEMALE,,
13,14,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,38.6,21.2,191.0,3800.0,MALE,,
14,15,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,34.6,21.1,198.0,4400.0,MALE,8.55583,-25.22588
15,16,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.6,17.8,185.0,3700.0,FEMALE,,
16,17,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,38.7,19.0,195.0,3450.0,FEMALE,9.18528,-25.06691
17,18,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.5,20.7,197.0,4500.0,MALE,8.67538,-25.13993
18,19,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,34.4,18.4,184.0,3325.0,FEMALE,8.47827,-25.23319
19,20,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,46.0,21.5,194.0,4200.0,MALE,9.11616,-24.77227
20,21,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.8,18.3,174.0,3400.0,FEMALE,8.73762,-25.09383
21,22,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.7,18.7,180.0,3600.0,MALE,8.66271,-25.0639
22,23,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.9,19.2,189.0,3800.0,FEMALE,9.22286,-25.03474
23,24,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.2,18.1,185.0,3950.0,MALE,8.43423,-25.22664
24,25,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.8,17.2,180.0,3800.0,MALE,9.63954,-25.29856
25,26,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.3,18.9,187.0,3800.0,FEMALE,9.21292,-24.3613
26,27,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,40.6,18.6,183.0,3550.0,MALE,8.93997,-25.36288
27,28,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,40.5,17.9,187.0,3200.0,FEMALE,8.08138,-25.49448
28,29,Adelie Penguin (Pygoscelis adeliae),Biscoe,No,37.9,18.6,172.0,3150.0,FEMALE,8.38404,-25.19837
29,30,Adelie Penguin (Pygoscelis adeliae),Biscoe,No,40.5,18.9,180.0,3950.0,MALE,8.90027,-25.11609
30,31,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.5,16.7,178.0,3250.0,FEMALE,9.69756,-25.11223
31,32,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.2,18.1,178.0,3900.0,MALE,9.72764,-25.0102
32,33,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.5,17.8,188.0,3300.0,FEMALE,9.66523,-25.0602
33,34,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.9,18.9,184.0,3900.0,MALE,8.79665,-25.14591
34,35,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.4,17.0,195.0,3325.0,FEMALE,9.17847,-25.23061
35,36,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.2,21.1,196.0,4150.0,MALE,9.15308,-25.03469
36,37,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,38.8,20.0,190.0,3950.0,MALE,9.18985,-25.12255
37,38,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,42.2,18.5,180.0,3550.0,FEMALE,8.04787,-25.49523
38,39,Adelie Penguin (Pygoscelis adeliae),Dream,No,37.6,19.3,181.0,3300.0,FEMALE,9.41131,-25.04169
39,40,Adelie Penguin (Pygoscelis adeliae),Dream,No,39.8,19.1,184.0,4650.0,MALE,,
40,41,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.5,18.0,182.0,3150.0,FEMALE,9.68933,-24.4228
41,42,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.8,18.4,195.0,3900.0,MALE,,
42,43,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.0,18.5,186.0,3100.0,FEMALE,9.50772,-25.03492
43,44,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,44.1,19.7,196.0,4400.0,MALE,9.2372,-24.52698
44,45,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.0,16.9,185.0,3000.0,FEMALE,9.36392,-25.01745
45,46,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.6,18.8,190.0,4600.0,MALE,9.49106,-24.10255
46,47,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,41.1,19.0,182.0,3425.0,MALE,,
47,48,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.5,18.9,179.0,2975.0,,,
48,49,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.0,17.9,190.0,3450.0,FEMALE,9.51784,-25.07683
49,50,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,42.3,21.2,191.0,4150.0,MALE,8.87988,-25.18543
50,51,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.6,17.7,186.0,3500.0,FEMALE,8.46616,-26.12989
51,52,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,40.1,18.9,188.0,4300.0,MALE,8.51362,-26.55602
52,53,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.0,17.9,190.0,3450.0,FEMALE,8.19539,-26.17213
53,54,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,42.0,19.5,200.0,4050.0,MALE,8.48095,-26.3146
54,55,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,34.5,18.1,187.0,2900.0,FEMALE,8.41837,-26.54718
55,56,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.4,18.6,191.0,3700.0,MALE,8.35396,-26.27853
