college,Latitude,Longitude,Name,TARGET_5Yrs
Duke University,36.0014258,-78.9382286,Brandon Ingram,0
University of Kentucky,38.0306511,-84.5039697,Andrew Harrison,0
St. John's University,40.6213742,-74.0908179,JaKarr Sampson,0
St. John's University,40.6213742,-74.0908179,Malik Sealy,1
Georgia Institute of Technology,33.7756178,-84.396285,Matt Geiger,1
University of Wisconsin-Green Bay,44.5312764,-87.9237615,Tony Bennett,0
"University of California, Los Angeles",34.068921,-118.4451811,Don MacLean,1
"University of California, Los Angeles",34.068921,-118.4451811,Tracy Murray,1
University of Southern California,34.0223519,-118.285117,Duane Cooper,0
Syracuse University,43.0391534,-76.1351158,Dave Johnson,0
Oklahoma State University,36.1270236,-97.0737222,Corey Williams,0
University of Houston,29.7199489,-95.3422334,Sam Mack,1
Stetson University,29.0348652,-81.3009159,Lorenzo Williams,1
University of North Carolina,35.9049122,-79.0469134,P.J. Hairston,0
"University of Nevada, Las Vegas",36.1074857,-115.1434507,Elmore Spencer,1
University of Virginia,38.0335529,-78.5079772,John Crotty,1
DePaul University,41.924189,-87.6541657,Stephen Howard,0
La Salle University,40.0390398,-75.1558184,Randy Woods,0
Syracuse University,43.0391534,-76.1351158,Billy Owens,1
"University of Nevada, Las Vegas",36.1074857,-115.1434507,Stacey Augmon,1
Temple University,39.9805942,-75.1557376,Mark Macon,1
La Salle University,40.0390398,-75.1558184,Steven Smith,0
University of Michigan,42.2780436,-83.7382241,Mitch McGary,0
Coppin State University,39.3126011,-76.6579973,Larry Stewart,1
Saint Francis University,40.50382,-78.6376191,Mike Iuzzolino,0
University of Missouri,38.9403808,-92.3277375,Doug Smith,1
Ohio University,39.324358,-82.1013889,Paul Graham,0
Temple University,39.9805942,-75.1557376,Donald Hodge,1
Clemson University,34.673407,-82.8367119,Dale Davis,1
Louisiana State University,30.4132579,-91.1800023,Stanley Roberts,1
University of Oregon,44.0448302,-123.0726055,Terrell Brandon,1
University of Arizona,32.2318851,-110.9501094,Bison Dele,1
University of Colorado,40.007581,-105.2659417,Spencer Dinwiddie,0
University of Tulsa,36.1520526,-95.9460753,Tracy Moore,1
"University of Nevada, Las Vegas",36.1074857,-115.1434507,Greg Anthony,1
Georgia Institute of Technology,33.7756178,-84.396285,Kenny Anderson,1
Iowa State University,42.0266573,-93.6464516,Victor Alexander,1
University of Alabama,33.2140233,-87.5391418,David Benoit,1
University of Minnesota,44.97399,-93.2277285,Kevin Lynch,0
University of Louisville,38.2122761,-85.7585023,LaBradford Smith,0
North Carolina State University,35.7846633,-78.6820946,Chris Corchiani,0
"University of California, Los Angeles",34.068921,-118.4451811,Travis Wear,0
University of Southern California,34.0223519,-118.285117,Robert Pack,1
University of North Carolina,35.9049122,-79.0469134,Pete Chilcutt,1
Old Dominion University,36.8853052,-76.3058746,Chris Gatling,1
